lycode,pcode,name,status,oldname
01443,F0140009,戰士授田憑據處理條例,中華民國108年4月26日廢止,
01446,F0060007,陸海空軍服制條例,中華民國103年1月10日全文修正,
01447,K0000050,漢翔航空工業股份有限公司設置條例,中華民國108年12月6日廢止,
01448,F0040020,陸海空軍軍官士官服役條例,中華民國107年6月20日全文修正,
01449,F0140013,國軍老舊眷村改建條例,中華民國109年4月28日修正,
01450,F0000036,國軍軍事勤務致人民傷亡損害補償條例,中華民國108年5月31日修正,
01452,F0080007,軍事教育條例,中華民國105年10月21日修正,
01456,D0040017,替代役實施條例,中華民國107年12月28日修正,
01458,F0000067,國防部主計局組織條例,中華民國103年1月10日廢止,
01459,F0070013,全民防衛動員準備法,中華民國108年5月31日修正,
01460,F0000066,國防部總政治作戰局組織條例,中華民國103年1月10日廢止,
01461,A0020041,國家情報工作法,中華民國108年12月13日修正,
01464,F0000071,國防部軍備局組織條例,中華民國103年1月10日廢止,
01465,F0000068,國防部軍醫局組織條例,中華民國103年1月10日廢止,
01466,F0090021,殺傷性地雷管制條例,中華民國108年5月31日修正,
01468,F0080014,全民國防教育法,中華民國94年1月11日制定,
01472,F0030038,軍人待遇條例,中華民國96年12月18日制定,
01473,F0040030,推動募兵制暫行條例,中華民國104年9月15日制定,
01475,F0000083,國家中山科學研究院設置條例,中華民國103年1月10日制定,
01477,F0000078,國防部政治作戰局組織法,中華民國101年11月27日制定,
01478,F0000075,國防部軍備局組織法,中華民國101年11月27日制定,
01479,F0000076,國防部軍醫局組織法,中華民國101年11月27日制定,
01480,F0000077,國防部主計局組織法,中華民國101年11月27日制定,
01481,F0000074,國防部參謀本部組織法,中華民國101年11月27日制定,
01483,F0110024,國防產業發展條例,中華民國108年5月31日制定,
01501,G0300002,財政部國庫署組織條例,中華民國88年6月22日全文修正,
01502,G0300017,財政部賦稅署組織條例,中華民國76年5月19日修正,
01503,G0300003,財政部國有財產局組織條例,中華民國86年3月21日全文修正,
01504,G0300005,財政部各地區國稅局組織通則,中華民國101年1月20日全文修正,
01505,G0300006,財政部各地區支付處組織通則,中華民國61年12月30日制定,
01506,G0300019,財政部財稅人員訓練所組織條例,中華民國72年12月9日制定,
01507,G0300016,財政部證券暨期貨管理委員會組織條例,中華民國86年3月11日全文修正,財政部證券管理委員會組織條例
01508,G0320015,財政收支劃分法,中華民國88年1月13日修正,
01509,G0340023,財務罰鍰處理暫行條例,中華民國93年4月9日修正,
01510,G0320003,國庫法,中華民國91年4月25日修正,
01511,G0320001,公庫法,中華民國98年4月14日全文修正,
01512,G0340001,稅捐稽徵法,中華民國109年4月28日修正,
01513,G0340003,所得稅法,中華民國108年7月1日修正,
01515,G0340072,遺產及贈與稅法,中華民國106年5月26日修正,
01516,G0340091,印花稅法,中華民國91年4月25日修正,
01517,G0340076,貨物稅條例,中華民國108年12月3日修正,
01518,G0340078,證券交易稅條例,中華民國107年4月13日修正,
01519,G0340096,土地稅法,中華民國104年6月12日修正,
01520,G0340021,勘報災歉條例,中華民國91年4月2日廢止,
01521,G0340080,加值型及非加值型營業稅法,中華民國106年5月26日修正,營業稅法
01522,G0340095,使用牌照稅法,中華民國106年11月14日修正,
01523,G0330017,國產菸酒類稅條例,中華民國81年4月10日廢止,
01524,G0340102,房屋稅條例,中華民國103年5月20日修正,房捐條例
01525,G0340105,契稅條例,中華民國99年4月20日修正,
01526,G0340115,所得基本稅額條例,中華民國106年4月21日修正,
01527,G0340106,娛樂稅法,中華民國96年5月4日修正,筵席及娛樂稅法
01528,G0350001,關稅法,中華民國107年4月13日修正,
01530,G0350029,海關緝私條例,中華民國107年4月13日修正,
01531,G0380001,銀行法,中華民國108年3月26日修正,
01532,G0410001,中央銀行法,中華民國102年12月24日修正,
01533,G0380006,交通銀行條例,中華民國94年12月6日廢止,
01534,G0380007,中國農民銀行條例,中華民國94年12月6日廢止,
01535,G0380009,中國國際商業銀行條例,中華民國94年12月6日廢止,中國銀行條例
01536,G0380010,中國輸出入銀行條例,中華民國104年6月15日修正,
01537,G0380008,中央信託局條例,中華民國72年11月1日全文修正,
01538,G0380011,合作金庫條例,中華民國104年6月15日廢止,
01539,,省銀行條例,中華民國82年7月9日廢止,
01540,,縣銀行法,中華民國82年7月9日廢止,
01541,G0380037,國際金融業務條例,中華民國105年12月9日修正,
01542,G0400001,證券交易法,中華民國109年5月5日修正,
01543,G0390001,中央再保險公司條例,中華民國93年6月11日廢止,
01544,G0380039,存款保險條例,中華民國104年1月20日修正,
01546,G0380021,銀行業戰前存款放款清償條例,中華民國37年12月31日全文修正,
01547,G0380026,管理外匯條例,中華民國98年4月14日修正,
